日本製紙株式会社,前身となる企業は十條製紙、東北振興パルプ（[[1968年]]（昭和43年）合併）、山陽国策パルプ（[[1993年]]（平成5年）合併）、大昭和製紙（[[2003年]]（平成15年）合併）の4社で、会社設立年度は存続会社・十條製紙の設立年度である[[1949年]]（昭和24年）としている。十條製紙と山陽国策パルプの合併で社名を日本製紙とした。もともと、十條製紙は[[1949年]]（昭和24年）に[[過度経済力集中排除法]]によって旧[[王子製紙(初代)王子製紙]]が3社に分割された内の1社である（他2社は苫小牧製紙、本州製紙）。[[1968年]]（昭和43年）に3社の再合併が発表されたものの実現には至らず、[[1996年]]（平成8年）新王子製紙（苫小牧製紙から改称した王子製紙と神崎製紙が合併）と本州製紙が合併、王子製紙が発足し、十條製紙だけが異なる道を歩むことになった。なお、3社分割時に十條製紙が旧王子製紙の創業地である王子工場（1943年閉鎖）跡も引き継いだため、日本製紙の登記上の本店所在地は現在も[[東京都]][[北区(東京都)北区]][[王子(東京都北区)王子]]である。[[2001年]]（平成13年）に、持株会社日本ユニパックホールディングの下で日本製紙と大昭和製紙との経営統合が実施され、両社の洋紙営業部門はこの時に「日本紙共販」として合併した。[[2003年]]（平成15年）に日本製紙と大昭和製紙が正式に合併し「新生」日本製紙が誕生。またこのとき両社の板紙部門が整理・統合され、新たに[[日本大昭和板紙]]が発足した。[[2004年]]（平成16年）[[10月1日]]に持株会社の社名も株式会社[[日本製紙グループ本社]]に統一された。[[洋紙]]事業の主力製品は、[[新聞紙新聞用紙]]、印刷出版用紙、情報用紙、産業用紙の4種類。特に新聞用紙は、日本国内[[市場占有率シェア]]の37%を占める。なお、印刷出版用紙は[[上質紙]]・[[塗工紙]]・[[微塗工紙]]など、情報用紙は[[ノーカーボン紙]]・[[複写機]]用紙・[[感熱紙]]・[[インクジェットプリンター#インクジェットプリンター用紙インクジェット用紙]]など、産業用紙は[[コップ紙コップ]]・[[壁紙]]など各種紙加工品の原紙や[[クラフト紙]]を指す。[[2012年]]（平成24年）10月1日に、グループの板紙部門である日本大昭和板紙、紙パック部門である[[日本紙パック]]、化成品部門である[[日本製紙ケミカル]]の3社を吸収合併。さらに[[2013年]]（平成25年）[[4月1日]]に持株会社であった日本製紙グループ本社を吸収合併し、中核会社となった。前身の十條製紙が[[三井財閥]]傘下の初代王子製紙の流れを汲み、同じく前身の山陽国策パルプが旧[[富士銀行]]をメインバンクとしていたことから[[三井グループ]]と[[芙蓉グループ]]に属しており&lt;refname&quot;六大企業集団の無機能化&quot;&gt;{{PDFlink[https://doors.doshisha.ac.jp/duar/repository/ir/15981/17064050004.pdf六大企業集団の無機能化]}}-[[同志社大学]]学術情報検索システム内にあるページ。筆者は[[経済学者]]の[[田中彰(経済学者)田中彰]]。&lt;/ref&gt;、三井系の二木会&lt;refname&quot;六大企業集団の無機能化&quot;/&gt;・三井業際研究所&lt;ref&gt;[http://www.mitsui-gyoosai.com/kaisha.html会員会社-三井業際研究所]&lt;/ref&gt;・[[綱町三井倶楽部]]&lt;ref&gt;[http://tsunamachimitsuiclub.co.jp/members/綱町三井倶楽部会員会社一覧]&lt;/ref&gt;・月曜会・三井文庫&lt;ref&gt;[http://www.mitsui-bunko.or.jp/foundation/support.html公益財団法人三井文庫【賛助会社】]&lt;/ref&gt;に加盟する一方芙蓉グループの社長会・芙蓉会&lt;refname&quot;六大企業集団の無機能化&quot;/&gt;にも加盟している。但し三井広報委員会と芙蓉懇談会には加盟していない。
河野製紙株式会社,明治創業の製紙会社で、本社は[[高知県]]。[[埼玉県]]にも工場がある。保湿ティッシュを世界で初めて発明し、特許を取得する。主にティッシュペーパーやトイレットペーパーなどの家庭紙の生産を行っている。
日本紙パック株式会社,*芭蕉は[[1644年]]（正保元年）、伊賀市で生まれ、幼少の頃は伊賀市[[上野赤坂町]]で過ごしたとされる。*[[安政の大地震]]（[[1854年]]）の際に被災し、改築されたとされる。格子構えは当時の面影が伝わる。*生家の奥には書斎「釣月軒」があり、29歳まで生家で過ごし、ここで処女句集『貝おほひ』を執筆した。*近くには、松尾家の菩提寺である[[願成寺(伊賀市)愛染院願成寺]]、遺髪を収めた故郷塚がある。*一説には、伊賀市[[柘植町]]で出生したという説があるが、これは芭蕉の出生前後に松尾家が柘植から赤坂へ引っ越しをしており、引っ越しと芭蕉誕生とどちらが先だったかが不明だからである。よって、幼少の頃に芭蕉翁生家で過ごしていたことは異論がないところである。
高崎三興株式会社,王子製紙系列であった高崎製紙株式会社と三興製紙株式会社が[[1999年]]10月に[[合併(企業)合併]]（存続会社は高崎製紙）して発足した製紙会社である。高崎製紙は[[1914年]]、三興製紙は[[1949年]]設立の板紙メーカーであった。王子製紙グループの段ボール原紙事業集約の一環として[[2001年]]にグループ共同販売会社の王子板紙を設立、2002年10月にグループのメーカーとともに王子板紙に吸収合併された。国内4工場を持ち、[[段ボール段ボール原紙]]や[[白板紙]]などの板紙を主体に生産・販売を手がけた。また傘下のグループ企業では、[[段ボール]]や紙容器（紙器）の生産・販売なども手がけていた。
特種東海製紙株式会社,1996年、エリック・モーリーが、男性版ミス・ワールドを開催しようと、[[トルコ]]の[[イスタンブール]]で第1回大会が行なわれ、以降はほぼ2年に1回開催されている。&lt;br/&gt;ミス・ワールドの理念同様『BeautyWithaPurpose（目的のある美）』に加えて、“TheSearchfortheWorld’sMostDesirableMan.”「最も必要とされる男」、「頼りがいがあり」「愛するものを守る力を持ち」「人に寄り添い」「己の弱さを知り」「ユーモアもある」そして「笑顔と幸福を与えられる」を美徳とし、審査の基準としている。
阿波製紙株式会社,JR[[原ノ町駅]]から約6km西側に位置する。南相馬市原町区のほか、[[川俣町]]への最寄りのインターチェンジでもある。当初は2011年（平成23年）度に当ICを含む[[常磐富岡インターチェンジ常磐富岡IC]]-[[相馬インターチェンジ相馬IC]]間の開通を目指していたが、[[2011年]]（平成23年）[[3月11日]]の[[東日本大震災]]及び[[福島第一原子力発電所事故東京電力福島第一原子力発電所事故]]の影響で建設中断となった。その後、同年[[6月]]に当IC-相馬IC間を先行的に部分開通させることを決定し、当初の予定通り[[2012年]]（平成24年）[[4月8日]]に開通した&lt;refname2012-03-09&gt;[http://www.e-nexco.co.jp/pressroom/press_release/head_office/h24/0309/常磐自動車道南相馬IC〜相馬IC間が開通〜福島県浜通りの復旧・復興の基軸として高速道路が開通します〜]-NEXCO東日本2012年3月9日。&lt;/ref&gt;。常磐富岡IC-当IC間については、福島第一原発事故の帰還困難区域（事故発生当初は[[警戒区域]]）となっており、開通の目途が立っていなかったが、同年[[8月31日]]に[[浪江インターチェンジ浪江IC]]-'''南相馬IC'''間を2014年度の開通を目標に建設を行うことが発表された。当初は、建設中の仮称として「原町インターチェンジ」（はらまちインターチェンジ）という名称が使用されていたが&lt;refname&quot;meisho&quot;&gt;[http://www.city.minamisoma.lg.jp/mpsdata/web/4425/sa-bisueria.pdf常磐自動車道IC・SA名称（案）の意見募集]-南相馬市、2011年12月10日閲覧&lt;/ref&gt;、南相馬市による名称の意見募集&lt;refname&quot;meisho&quot;/&gt;や土地利用計画案&lt;ref&gt;[http://www.city.minamisoma.lg.jp/mpsdata/web/4961/03zumen.pdf南相馬市土地利用計画（案）]-南相馬市、2011年12月10日閲覧&lt;/ref&gt;の他、[[東日本高速道路NEXCO東日本]]の開通予定区間一覧&lt;ref&gt;[http://www.e-nexco.co.jp/open_schedule/tohoku/tohoku07.html東北/新潟開通予定区間]&lt;/ref&gt;では「南相馬インターチェンジ」の名称が使用されるようになり、2012年[[3月9日]]に開通日時の発表と同時に'''南相馬IC'''という名称で正式決定された。
興亜工業株式会社,興亜工業株式会社は、[[古紙]]を主原料とした製紙会社であり、[[富士山_(代表的なトピック)富士山麓]]の豊富な水資源を利用でき、大消費地へのアクセスに優れているという有利な立地条件を生かして事業を行っている。主要製品は、[[段ボール原紙中芯原紙]]、外装用[[段ボール原紙ライナー]]、出版・印刷用紙として[[更紙]]の3種類。年間約60万tの生産能力を有している&lt;ref&gt;『紙パ技協誌』2007年11月号78ページ。&lt;/ref&gt;&lt;ref&gt;ダンボール原紙528000t、更紙52000t。[http://www.koa-kogyo.co.jp/work/index.html事業概要-興亜工業株式会社]、2012年5月10日閲覧。&lt;/ref&gt;。
ダイナパック株式会社,[[2005年]]（[[平成]]17年）大日本紙業と日本ハイパックの営業部門と管理部門が統合しダイナパック株式会社となった。大日本紙業と日本ハイパックは生産子会社となっていたが、[[2010年]]（平成22年）7月に日本ハイパック、東日本ハイパックおよび新日本ハイパックと共にダイナパックに吸収合併された。
新タック化成株式会社,当初は1月23日から1月27日に開催が予定されていたが、雪不足により延期となり、3月開催となった。競技種目は前回大会に引き続き[[エアリアル]]、[[モーグル]]、[[デュアルモーグル]]、[[スキークロス]]、[[ハーフパイプ]]の5種目が予定されていた。しかし、ハーフパイプは雪不足により中止された。
エクセルパック・カバヤ株式会社,"{{節stub}}宇宙に戦闘機が飛びたっていき、顔面となるラフレシアの破壊を目指す[[シューティングゲーム]]。{{DEFAULTSORT:らふれしあ}}[[Category:1986年のアーケードゲーム]][[Category:シューティングゲーム]][[Category:セガのアーケードゲーム]]</text><sha1>36f65ukligcx5xto9mgodbfnlx6yydo</sha1></revision></page><page><title>副産物</title><ns>0</ns><id>2370090</id><revision><id>70435679</id><parentid>69055762</parentid><timestamp>2018-10-28T08:43:07Z</timestamp><contributor><username>Jkr2255</username><id>16760</id></contributor><comment>/*市場への影響力*/副産物の流入で市場が暴落した例</comment><model>wikitext</model><format>text/x-wiki</format><textxml:space""preserve"">'''副産物'''（ふくさんぶつ）は、「主産物の製造過程から必然的に派生する物品」&lt;refname&quot;Kinyucho&quot;&gt;[[金融庁]]総務企画局「財務諸表等の用語、様式及び作成方法に関する規則」の取扱いに関する留意事項について（財務諸表等規則ガイドライン）&lt;/ref&gt;である。主産物との区別は「企業における会計処理の慣習による」&lt;refname&quot;Kinyucho&quot;/&gt;とされるが、基本的に、価値が高いほうが主産物、低いほうが副産物である。主産物と副産物の[[需要]]の変化により、副産物と主産物が逆転することもある。副産物の中には、もともと[[廃棄物]]だったものもある。その用途が開発され価値が生まれると、廃棄物は副産物となる。副産物は商品になるとは限らず、[[自家消費]]されることもある。"
アサヒ紙工株式会社,豊川市の南部に位置し、[[国道1号]]線にほぼ面している。卒業後は、私学進学者を除き[[豊川市立代田中学校]]に進学する。以下は、2011年（平成23年）度（同年5月1日現在）のデータである。*学級数:14学級（普通学級12、特別支援学級2）*児童数:347人*職員数:24人
三木特種製紙株式会社,[[1978年]]（[[昭和]]58年）9月に、[[化学]]産業に働く労働者が結集して結成された[[産業別労働組合]]であり、加盟20組合・準加盟2組合・46554名（2015年7月1日現在）で構成されている。[[2017年]]（[[平成]]29年）[[2月14日]]付の[[産経新聞]]は、[[2月13日]]、[[自由民主党(日本)自由民主党]]の茂木敏充政調会長らと面会し、次期衆院選で自民党を支援することを決定したと報道した&lt;ref&gt;[http://www.sankei.com/smp/politics/news/170214/plt1702140011-s1.html連合離脱の化学総連が自民党支援へ次期衆院選、「民進党離れ」加速も]産経新聞2017年2月14日&lt;/ref&gt;が、化学総連は[[2月15日]]に特定政党を支持する決定を行った事実はないとする旨の声明を発表している&lt;ref&gt;[http://www.kagaku-s.com/20170215.pdf2017年2月14日付の産経新聞について]（PDF）&lt;/ref&gt;。{{節stub}}
大興製紙株式会社,本社・工場所在地は[[静岡県]][[富士市]]上横割10番地にあり、クラフト紙・特殊紙の製造および販売、クラフトパルプの製造および販売、産業廃棄物・一般廃棄物中間処分業を行っている。{{要出典範囲1960年代1970年代前半に起こった[[田子の浦港ヘドロ公害ヘドロ公害事件]]の原因を作ったとして、大興製紙株式会社の他、富士市内の4つの製紙会社(大興、[[大昭和製紙]]（現[[日本製紙]]株式会社)、[[興亜工業]]、[[本州製紙]])を告発され、県に対しても[[住民監査請求]]を求めることになったといわれている。date2017年5月}}{{誰にdate2017年5月}}
株式会社プリントパック,1970年にオフセット印刷の焼付分野で創業した株式会社プリントパックは、主にインターネットを窓口とした[[印刷通販]]事業を営む企業である。京都府に本社及び本店を構え、東京・大阪・札幌に支店を、全国に5箇所の工場を保有する。2017年5月現在で89万人を超える登録者がおり、国内でも最大規模の印刷通販事業を展開している。&lt;ref&gt;[https://www.printpac.co.jp/contents/user_guide/ご利用ガイド印刷のことなら印刷通販【プリントパック】]&lt;/ref&gt;全国配送料無料や他社最安値に対抗する安心価格保証などが特徴的なサービスで、データの確認から出荷まで24時間生産体制を築き、社内による一貫生産を行う。
