株式会社サンリオ,[[1968年]]（[[昭和]]43年）の都市交通審議会答申第10号において、'''東京7号線'''は、「'''[[目黒(東京都)目黒]]方面より[[麻布飯倉片町]]、[[永田町]]、[[市ケ谷]]、[[駒込]]及び[[王子(東京都北区)王子]]の各方面を経て[[赤羽]]方面に至る路線'''」として示された。[[1972年]]（昭和47年）の答申第15号では、将来の検討対象とされていた[[埼玉県埼玉方面]]への延伸区間が'''[[川口市]]中央部'''…'''[[浦和市]]東部'''間と改められた。その後[[1985年]]（昭和60年）の[[運輸政策審議会答申第7号]]では、目黒-清正公前（現：[[白金高輪駅]]）間を[[都営地下鉄三田線都営三田線]]と共用するものとされ、また埼玉県内は[[鳩ヶ谷駅鳩ヶ谷市中央]]経由で[[東川口駅東川口]]から浦和市東部へと変更された。このうち、目黒-赤羽岩淵間が南北線として順次開業しており、また赤羽岩淵-[[浦和美園駅浦和美園]]間は[[埼玉高速鉄道線]]として開業している。7号という路線番号が示すように、計画そのものは[[1960年代]]になされていたが、着工は大幅に遅れ、[[1991年]]（[[平成]]3年）に部分開業、[[2000年]]（平成12年）に全線開業した。後発路線のため、全体的に地中深い駅が多いのが特徴である。当初の建設計画では第1期工事区間を[[駒込駅駒込]]-赤羽岩淵間、第2期工事区間を目黒-駒込間としていたが、第2期工事区間を[[溜池山王駅溜池山王]]-駒込間（その1）、目黒-溜池山王間（その2）に分割したため、実際は3区間に分けて建設された。第1期区間は順調に建設がされたが、第2期区間は[[埋蔵文化財]]の発掘や[[住民]]の反対運動で建設は遅れ、当初の全線開業予定の[[1995年]]（平成7年）9月から2000年（平成12年）9月へと大きく延期されることとなった&lt;refname&quot;Namboku&quot;&gt;帝都高速交通営団「東京地下鉄道南北線建設史」参照。&lt;/ref&gt;。また、第2期開業にあたっては駒込駅-溜池山王駅までを一気に開業させる予定であった。しかし、[[東京メトロ銀座線銀座線]]の新駅設置工事や[[東京メトロ丸ノ内線丸ノ内線]]・[[東京メトロ千代田線千代田線]]の既設路線交差部において難工事となったため、工期に時間を要することとなった。本路線の建設費用は総額5604億円である。内訳は土木関係費が4136億4517万9000円、電気関係費が590億8743万6000円、車両関係費が302億4814万円、その他が574億1924万5000円となっている。本路線の路線名称は[[帝都高速度交通営団営団地下鉄]]職員より社内公募を行ったもので、応募は3830通（341線名）があった。選考の結果、「南北線」が1741通と約半数を占め、また本路線が地理上から、ほぼ南北に貫通していること、[[東京メトロ東西線東西線]]に対比して南北方向の路線として最もふさわしい路線名称であることから「南北線」という路線名称が選ばれた&lt;!--南北線建設史参照。--&gt;。飯田橋駅-永田町駅間では有楽町線と並行しているが、有楽町線が麹町経由であるのに対して南北線は四ツ谷経由であることが異なっている。
ダイワボウホールディングス株式会社,城跡は[[美嚢川]]の南岸の台地にあり、[[明石市明石]]の北約19km、[[姫路市姫路]]の東約31kmの地にあり、それほど肥沃の土地ではなかったが、[[京都市京都]]-[[有馬郡有馬]]は古くから整備された交通の要所（湯山街道）に築城された。[[天正]]6年（[[1578年]]）から2年（20ヵ月）に渡って、[[織田氏織田方]]の[[豊臣秀吉羽柴秀吉]]と[[別所長治]]との間で[[兵糧攻め]]、[[三木合戦]]（三木の干殺し）を含めて、激しい[[攻城戦]]が繰り広げられたことで知られている。この三木合戦の際には[[神吉城]]（[[印南郡]]）、[[志方城]]（印南郡）、[[淡河城]]（[[美嚢郡]]）、[[高砂城]]（[[加古郡]]）、[[端谷城]]（[[明石郡]]）など東播磨各地の城が[[支城]]として別所方に従った。本来の城郭は現在の三木市街地部分も含むものであったが、本丸周辺だけが[[上の丸公園]]として残っている。公園内には長治の[[辞世]]「今はただうらみもあらじ諸人のいのちにかはる我身とおもへば」の歌碑や、城外への抜け穴があったと伝えられる「かんかん井戸」、そして近年立てられた長治の像がある。公園に隣接してみき歴史資料館（旧[[三木市立図書館]]）、城郭跡の下には滑原（なめら）商店街がある。毎年[[5月5日]]には長冶を偲び、「別所公春まつり」が開催されている。
カメイ株式会社,これまで[[FIFAワールドカップ]]では本大会出場18回、優勝4回の成績を収めており、優勝5回の[[サッカーブラジル代表ブラジル]]、優勝4回の[[サッカードイツ代表ドイツ]]と共にW杯で3回以上の優勝を経験している。また[[FIFAランキング]]で1位になった経験を持つ8チームのうちの1つでもある。特に欧州で開催された大会ではその強さを発揮している。4回の優勝は全て欧州で達成しており、また[[1974FIFAワールドカップ1974年大会]]で[[サッカーポーランド代表ポーランド]]に敗れて以来、欧州では現在まで26試合無敗を継続中である。強豪相手に対してその勝負強さが発揮され、ワールドカップで負け越している優勝経験チームは1つもなく、決勝トーナメントで敗北を喫したのもブラジルと[[サッカーフランス代表フランス]]のみである。ワールドカップでのPK戦は[[1990FIFAワールドカップ1990年大会]]、[[1994FIFAワールドカップ1994年大会]]、[[1998FIFAワールドカップ1998年大会]]と3戦全敗であったが、[[2006FIFAワールドカップ2006年大会]]決勝戦でのPK戦で初勝利を収めた。延長戦では最多の5勝を挙げている。[[UEFA欧州選手権]]には、7回出場、1回優勝している。またフランスとのライバル意識が強く、国際大会で数々の名勝負を繰り広げている（詳細は[[サッカーにおけるイタリアとフランスのライバル対決]]を参照）。[[サッカークロアチア代表クロアチア]]を苦手としており、公式戦全6試合で勝利が無い。かつての[[サッカーソビエト連邦代表ソビエト]]とも相性が悪く、1991年に[[ソビエト連邦構成共和国ソビエト国家]]が崩壊するまでに公式戦全7試合で勝利を収める事が出来なかった。国旗の色にない青という色をチームカラーとするナショナルチームのひとつであり（ほかの例としては[[サッカードイツ代表ドイツ]]の白、[[サッカー日本代表日本]]の青、[[サッカーオランダ代表オランダ]]のオレンジがある）、その青色は地中海ブルーと呼ばれることもある。ユニフォームが青いのは、かつてのイタリア王国の王家こと[[サヴォイア家]]からきているとされることがある（王国時代は現在の国旗の中央にサヴォイア家の家紋が青い枠とともに入っていた）。伝統として'''[[カテナチオ]]'''（“かんぬき”の意）と呼ばれる守備的戦術を持ち、古くから多くの優秀なディフェンダー、ゴールキーパーを輩出している。代表的な選手として、[[ジャチント・ファッケッティ]]、[[ディノ・ゾフ]]、[[ガエターノ・シレア]]、[[フランコ・バレージ]]、[[パオロ・マルディーニ]]、[[ファビオ・カンナバーロ]]、[[ジャンルイジ・ブッフォン]]などが挙げられる。攻撃的選手では、古くは[[ジャンニ・リベラ]]から始まり、近年では、[[ロベルト・バッジョ]]、[[アレッサンドロ・デル・ピエロ]]、[[フランチェスコ・トッティ]]などの、いわゆる'''[[ファンタジスタ]]'''と呼ばれるスター選手を多く輩出している。
商船三井テクノトレード株式会社,[[ファイル:Urchariot.jpgthumbleft200px紀元前2500年ごろの[[ウル]]王墓から出土した[[ウルのスタンダード]]に描かれたチャリオット。]][[ファイル:CoachdriverIndus01.jpgthumb200pxrightブロンズ製のチャリオットと御者（[[インダス文明]]・紀元前2000年）]][[ファイル:RamsesIIatKadesh.jpgthumbright100px[[カデシュの戦い]]で戦車に乗る[[ラムセス2世]]、[[アブ・シンベル神殿]]の壁画より]]チャリオット（戦車）は[[古代オリエント]]世界では[[シュメール]]、[[ヒッタイト]]、[[アッシリア]]、[[古代エジプト]]、[[ローマ]]、[[ペルシア]]、[[古代中国]]、[[古代インド]]などで使用された。近東のものは二輪で[[ウマ馬]]を2頭から4頭立て、エジプトでは乗員2名、ヒッタイト・イスラエル・アッシリア・中国などでは3名、多くは[[サスペンション]]がなく、[[皮革]]や[[ヤナギ柳]]のような柔軟な材料で編んだ[[床]]に[[振動]]を吸収させていた。特に[[古代ギリシャ]]や[[ローマ]]の4頭立ての二輪戦車のことを[[クワドリガ]]（Quadriga）と呼ぶ。古代戦の主力であり、昔は戦車の数をもって[[戦力]]とした時代もあった。[[旧約聖書]]の[[列王記]]や[[史記]]などには大規模な戦車戦の記述がある。[[地形]]の制約を受けやすく、また戦力維持に要する[[費用コスト]]が非常に高くつくため、[[鞍]]や[[鐙]]などの[[馬具]]の開発、[[遊牧民]]の[[軽騎兵]]による騎馬[[戦術]]の開発や定住文化圏への伝播、また[[品種改良]]による[[ウマ馬]]の大型化とそれによる[[重騎兵]]の登場などの影響を受けて騎兵に取って代られた。どの地域でも戦車に乗って戦った[[兵士]]の多くは[[貴族]]やその子弟などで、御者（馭者、[[操縦士]]）を担当する者はその[[部下]]や[[奴隷]]が主だった。御者は戦力にならないため、射撃戦に対応する[[弓(武器)弓]]兵や[[白兵戦]]に対応する[[槍]]などの[[ポールウェポン]]などで[[武装]]した者を乗車させる必要がある。また車輪自体に[[動力]]は無いため、旋回は各馬の[[調教]]に熟練した御者の[[手綱]]さばき頼みで、今で言うところの[[ドリフト走行]]のように車輪を滑らせて旋回する必要があり、戦車はこのような横方向からの[[荷重]]に対して構造上非常に脆い。[[機動]]性から見ても、戦力構成から見ても[[騎兵]]に比べて大きく劣る。とは言うものの、そもそも馬が小型で背も弱く騎乗に適さないために騎兵が存在しなかった時代においては、戦車の機動性は他に代えるものがなかった。高速で移動しながらでも[[弓矢]]による[[射撃]]を行えることや、[[加速]]をつけたポールウェポンによる破壊力は驚異的であった。騎兵が戦場で盛んに現れる時代になっても、馬上で扱うには大きすぎる[[長弓]]や[[弩砲]]で射撃を行ったり、戦車の前面や側面に槍や[[剣]]、[[鎌]]を取り付けて敵の[[重装歩兵]]の隊列に[[突撃]]し隊列を分断、混乱させるような運用もされた。[[ファイル:THorseChineseChariot400BCE.jpgthumbleft200px春秋時代の中国の戦車の図解]][[ファイル:Powerfullandlordinchariot.EasternHan25-220CE.AnpingHebei.jpgthumbright[[後漢]]（東漢）の戦車]]西方世界では[[重装歩兵]]時代をはさみ、いつ騎兵と入れ替わったかは定かではない。[[古代ギリシア]]でも末期になると、既に過去に戦車を[[実戦]]に用いた事が忘れられてしまい、[[叙事詩]]や[[物語]]作品では、[[英雄]]を戦場に運ぶ[[乗り物]]として描写された。[[古代ローマ]]では戦車を用いた記録が無い。[[ガイウス・ユリウス・カエサル]]は[[ガリア戦記]]に、[[紀元前1世紀]]の[[ブリタンニアブリテン島]]での戦車の特異な用法を記している。ただし戦場の[[兵器]]以外の使途として、古代ローマでは[[戦車競走]]が行われるようになり、[[首都]]・[[ローマ]]をはじめとする帝国の各地に[[競馬場]]が作られた。その中でも[[東ローマ帝国]]の首都・[[コンスタンティノポリス]]では[[12世紀]]まで戦車競走が行われていた。現在行われている[[繋駕速歩競走]]は、この戦車競走のスタイルを引き継いだものである。
太平洋石油販売株式会社,発足当初は、大山が[[剛柔流]]の出身（剛柔会副会長）だったこともあり、その一道場として位置付けられていたが、のちに独立。指導の特色は、[[実戦]]における強さ向上を目的とし、相手の体に直接、[[殴打技#突き技突き]]や[[蹴り]]を当てる[[組手(空手)組手]]を行い、それまで一般的であった他流派の[[寸止め]]組手とは一線を画していた&lt;refname&quot;蘇る伝説&quot;/&gt;。[[手]]や[[肘]]による[[顔面]]殴打・[[金的]]攻撃・[[投げ技]]・[[関節技]]を認める等、[[競技]]として普及している[[フルコンタクト空手]]とも異なっているため&lt;refname&quot;蘇る伝説&quot;/&gt;&lt;refname&quot;郷田、盧山&quot;&gt;[[#100人新・極真カラテ強豪100人]]「郷田、盧山両最高顧問が語る“伝説の大山道場”」58-61頁。&lt;/ref&gt;、[[総合空手]]の始祖ともされる流派である。組手スタイルに統一されたものは無く、多種多様で実戦の実験場のような体を成していた&lt;refname&quot;蘇る伝説&quot;/&gt;&lt;refname&quot;郷田、盧山&quot;/&gt;。他流派が行っていなかった基礎体力作りや[[ウエイトトレーニング]]を、本格的に取り入れていた&lt;refname&quot;蘇る伝説&quot;/&gt;&lt;refname&quot;郷田、盧山&quot;/&gt;。このスタイルは[[極真会館]]刷新後も継続され、[[1969年]]に[[極真会館#直接打撃とオープン参加の大会オープントーナメント全日本空手道選手権大会]]が初開催されても、その思想は残っていた&lt;refname&quot;郷田、盧山&quot;/&gt;。しかし毎年秋に定期的に大会が行われるようになると、門下生がルールに則って試合する意識が高まり、稽古内容も変化していった&lt;refname&quot;郷田、盧山&quot;/&gt;。大山道場と銘打っていたものの自らの修行に忙しい大山は、特に道場の初期、入門者への指導を率先して行っていなかった。その代わりに[[学習院大学]]空手道部で[[松涛館流]]の[[安田英治]]、[[日本大学]]空手道部で剛柔流の[[石橋雅史]]と南本一郎{{Refnestgroup&quot;注釈&quot;name南本一郎[[日本大学]][[剛柔流]][[空手道]]部出身で[[石橋雅史]]の後輩である&lt;refname&quot;読本&quot;&gt;[[#蘇る伝説蘇る伝説「大山道場」読本]]、42-49頁。&lt;/ref&gt;。大学在学中に[[浅草]]の剛柔流本部で[[大山倍達]]と知り合い、大山が[[池袋]]の[[立教大学]]裏で道場を開設した時に南本は道場での指導を頼まれ、大山道場初期の門下生を指導した&lt;refname&quot;読本&quot;/&gt;。相手を羽目板まで追い込んでも攻め続けたという厳しい姿勢を持ち、大山道場に「負けてはいけないんだ」という闘争心を持ち込んだ&lt;refname&quot;読本&quot;/&gt;。仕事の都合で道場へ通えなくなったことから、指導の引継ぎを先輩の石橋に頼み、大山道場を去った&lt;refname&quot;読本&quot;/&gt;。}}らが[[師範代]]として門下生を指導し、後に[[剣道]]の有段者であった[[黒崎健時]]も入門し、師範代となった&lt;refname&quot;蘇る伝説&quot;/&gt;&lt;refname&quot;郷田、盧山&quot;/&gt;。これまで大山倍達・石橋雅史・南本一郎・安田英治しか[[黒帯]]はいなかったが、[[1959年]][[12月6日]]には大山道場で修行した者の中で初めて[[岡田博文]]が[[黒帯]]（初段）を允許され、極真会館の公式年度別昇段登録簿にも一人目として掲載されている&lt;refname&quot;黒帯&quot;&gt;{{Citebook和書title極真カラテ総鑑origdate2001-04-20edition初版publisher株式会社I.K.O.出版事務局location[[〒]]171-0021[[東京都]][[豊島区]][[西池袋]]2-38-1language日本語isbn4816412506page62chapter国際空手道連盟極真会館年度別昇段登録簿（国内）ref総鑑}}&lt;/ref&gt;。
ユービーアイソフト株式会社,1995年の[[第50回国民体育大会]]（第50回ふくしま国体）のメインスタジアムとして、1994年に開場。サッカー公式戦が開催される他、[[2014年]]6月に[[日本陸上競技選手権大会]]が当地で開催された&lt;ref&gt;{{Citenewsurlhttp://wwwcms.pref.fukushima.jp/pcp_portal/PortalServlet;jsessionidF6103977430F3AEB65F308B8C73897C6?DISPLAY_IDDIRECT&amp;NEXT_DISPLAY_IDU000004&amp;CONTENTS_ID36617title第98回日本陸上競技選手権大会publisher[[福島県]]date2012-9-18accessdate2013-12-27}}&lt;/ref&gt;&lt;refname&quot;yomi130517&quot;/&gt;。2012年10月から2014年3月にかけて、芝の張り替えやトラックの改修を行った&lt;ref&gt;{{Citeweburlhttp://www.azumapark.or.jp/?topics%E5%B1%8B%E5%A4%96%E6%96%BD%E8%A8%AD%E8%8A%9D%E9%A4%8A%E7%94%9F%E6%9C%9F%E9%96%93%E3%81%AE%E3%81%8A%E7%9F%A5%E3%82%89%E3%81%9Btitle屋外施設改修工事・芝養生期間のお知らせpublisherあづま総合運動公園date2012-10-29accessdate2012-10-29}}&lt;/ref&gt;。なお、[[福島ユナイテッドFC]]は上記の改修のため、2013年は[[福島市信夫ヶ丘競技場]]などでホームゲームを開催した。
株式会社YAMAGIWA,戦前から秋葉原に店を構えていた老舗で、かつては秋葉原の東京本店を中心に、全国に照明器具を主力とした家電量販店を展開していた。しかし、[[バブル崩壊]]後は消費需要の低迷に加え、銀行借入による有利子負債によって業績が悪化したため、家電部門を[[石丸電気]]（現：[[エディオン]]）に、音楽ソフト部門の[[ヤマギワソフト]]を[[ソフマップ]]に譲渡し、総合インテリア卸・小売業として、デザイン性に優れた高級照明・家具の販売に特化した（製造や輸入などは子会社の神戸インターナショナル（旧：ヤマギワインターナショナル）が行っている）。[[2008年]]（[[平成]]20年）のリーマンショックに端を発する不況での消費低迷や、新規建築着工件数の激減で売上が急減。さらなるリストラのため製造部門の統合や、店舗事業からの撤退、人員の削減を進めたものの、事業縮小の影響を埋めるまでには至らず、[[2011年]]（[[平成]]23年）[[4月]]に[[地域経済活性化支援機構企業再生支援機構]]による支援を受けるに至った。2012年12月には[[MARUWA]]がヤマギワの株を取得し、同社の子会社となった。現在、店舗事業からは撤退しているが、[[東京都東京]]・[[名古屋市名古屋]]・[[大阪市大阪]]にショールームがある。
椿本興業株式会社,このパレードは前述にもあるとおり、悪天候時に行うパレードである。このため、公表された（検証可能な）資料で、何月何日に内容が変更になったのかというのが、開催が確認されたかどうかという方法でしか知る事はできない。フロートが2、3台にダンサー10数人ほどのミニパレードである。（後年になるとダンサーの出演は無くなっている。）通常のパレードは[[ファンタジーランド]]の「[[東京ディズニーランドのアトラクション#ホーンテッドマンションホーンテッドマンション]]」と「[[東京ディズニーランドのレストラン#クイーン・オブ・ハートのバンケットホールクイーン・オブ・ハートのバンケットホール]]」の間から出発し、[[トゥーンタウン]]の[[東京ディズニーランドのショップ#ギャグファクトリー／ファイブ・アンド・ダイムギャグファクトリー／ファイブ・アンド・ダイム]]の横へ退出するが、このパレードは逆にトゥーンタウン側から出発し、ファンタジーランド側へ退出と、通常と逆になる。これは、中止か否かが直前に発表されることもあるため、通常のパレードのフロートとレイニーデイ・ファン用のフロートの両方の準備が必要になることがあるためである。
株式会社マルイチ産商,*「[[誘惑(GLAYの曲)誘惑]]」との同時発売で、両シングルで2週連続で1位2位を独占した。オリコンチャートで1位を獲得していない作品では初動売上歴代1位、オリコンチャート2位の売上では歴代最高である。最終的にはミリオンセラーとなり、GLAYのシングルの中では3番目の売り上げとなっている。*[[ミュージックビデオプロモーションビデオ]]は通常バージョン・[[TERU]]バージョン・[[TAKURO]]バージョン・[[HISASHI]]バージョン・[[JIRO]]バージョンと計5つも作られている他、[[バックバンドサポートメンバー]]も、あたかもGLAYのメンバーのように出演している。メンバー間の仲の良さや結束を感じられる作品である。また、PVにはTERUが[[ドラムセットドラム]]を、TAKUROが[[エレクトリック・ベースベース]]を、JIROが[[ギター]]を演奏しているシーンが収められている。PVは大谷石地下採掘場跡で撮影された。
稲畑産業株式会社,1890年、京都府派遣留学生として[[フランス]]の[[リヨン]]で染色技術を学んだ[[稲畑勝太郎]]が帰国後、[[京都]]に稲畑染料店を開業したのが稲畑産業の起源。その後、1893年に社名を稲畑商店と改め、翌年には[[東京]]にも進出。さらに1897年には、本店を京都から大阪へと移転、同年大阪に稲畑染工場を設立し、最新技術を用いた染色加工業にも進出。[[日本]]の近代化を目指し[[欧州]]の先進的な商品や技術を導入すべく、[[染料]]・染織機械・薬品・[[香料]]・医薬品などを輸入する一方で、染色技術の実地指導にも力を注いだ。[[第一次世界大戦]]による経済的混乱が日本の染料業界にも及んでいた1916年、政府は染料の国産化を促すため、1926年、後の住友化学株式会社のファインケミカル事業の基礎となる日本染料製造株式会社を大阪に設立、勝太郎は社長に就任した。その後、稲畑商店は主に日本染料の製品販売を目指し、[[ブラッセル]]、[[奉天]]・[[天津]]・[[上海]]・[[バタビア]]・[[ソウル特別市ソウル]]・[[青島市青島]]・[[ハノイ]]・[[大連]]・[[済南]]・[[ジョクジャカルタ]]に拠点を開設し海外進出を積極化させた。1918年には稲畑商店を株式会社化、さらに[[第二次世界大戦]]により商業活動の規制が強まる1943年、社名を稲畑産業株式会社と変更した。戦後は、日本の高度成長とともに稲畑産業の事業規模も拡大。1961年の大阪証券取引所、翌1962年の東京証券取引所第二部上場を経て、1973年8月には両取引所の第一部に上場した。1976年には戦後の海外拠点第1号となったイナバタ・シンガポールを設立。その後世界各地にネットワークを拡大し、海外約50カ所で、情報電子・化学品・合成樹脂・住環境・食品の5分野で事業を行う。創業者勝太郎は、1926年に財団法人日仏文化協会を設立するなど、日仏交流に尽力。同協会の活動拠点となっている京都市の関西日仏学館では、現在でもフランス語やフランス文化の普及および両国のアーティスト・研究者による交流があり、稲畑産業はその活動を支援している。また、創業以来親しまれてきた稲畑産業のロゴマーク「IK」。マークは創業者勝太郎のイニシャルであると同時に「愛・敬」の意味が込められている。
株式会社カワイモデル,川合兼之、延之兄弟により川合模型製作所として創業。当初展示模型を製作していたが[[1928年]]（[[昭和]]3年）鉄道模型も製作するようになり弟の延之が1934年神田須田町に出店本格的に鉄道模型販売をするようになった&lt;ref&gt;上田龍史「日本鉄道模型小史」『鉄道模型趣味』No.499&lt;/ref&gt;当初は[[35mmゲージ]]を扱い、当時[[ティンプレート]]が主流だった鉄道模型分野において、早くから精密志向の[[スケールモデル]]を供給していた。後に[[16番ゲージ]]鉄道模型の普及に貢献する。かつて教育教材的な側面の強かった鉄道模型において、早くから趣味として楽しむ鉄道模型を指向していた。また、1936年（昭和11年）4月に日本初の純粋な鉄道模型専門誌である『[[模型鉄道]]』を創刊するなど、鉄道模型の普及、啓蒙活動にも力を入れていた。近くにあった[[交通博物館]]内に系列の工房があり、交通博物館の展示模型などの製作も多数にのぼる&lt;ref&gt;ペリーが持ち込んできた蒸気機関車の1/4模型、佐賀藩が作成した蒸気機関車模型のレプリカ、タキ3000型タンク車、911型ディーゼル機関車、キハ35-900型気動車、秩父三峰ロープウェイのゴンドラ、モハ155系クハ155型電車、ナハネ10型3等寝台車、DD50型ディーゼル機関車、EF58型電気機関車（原型・流線型の2種）、EF53型電気機関車、キハ81型ディーゼル気動車、キ100型単線用ラッセル式雪かき車など。出典はいずれも交通博物館の展示解説による。&lt;/ref&gt;。戦後は一部の製品を除き、戦前の精密志向から方針を変え、独特のフォルムを持つ製品を中心に供給する。ソフトメタル部品の多用、金属製車体ながら木製床板の使用、客車類においてやや狭い目に設計された幕板部など、今なお往時と変わらぬ個性豊かな製品を供給した。
株式会社インパクト二十一,干物女という単語は、[[ひうらさとる]]の[[漫画]]『[[ホタルノヒカリ(漫画)ホタルノヒカリ]]』の主人公・雨宮蛍の生活ぶりを指した作中の用語として発生した。蛍がそう名付けられた生活ぶりとは、平日は毎日会社から帰ると[[漫画]]を読んで一人手酌で[[酒]]を飲み、休日は[[布団]]の中でうだうだ過ごすのが幸せという、だらけて恋愛から遠ざかっている様子のことである。[[魚類魚]]のようにぴちぴちと恋愛に励んでいた時期が遠ざかり、「[[干物]]のように枯れ果て」「干物を噛みしめるように魚であった頃の思い出を反芻するだけ」という状態であることが由来になっている。魚であった時期、つまりは「以前には恋愛経験がある」ことが前提となっており、恋愛経験の無い[[喪女]]とは異なる存在である。だが、単語が広まるにつれて定義は曖昧になり「恋愛を放棄した10代から30代の（未婚の）女性」との意味が持たれるようになった。蛍は恋愛を全く放棄したというわけでもなく、単に面倒臭がって遠ざかっていただけである。「[[負け組]]」「[[勝ち組]]」など極端に分ける風潮が反映された[[言葉]]の1つでもある。[[2007年]]には「[[新語・流行語大賞ユーキャン新語・流行語大賞]]」の候補語60語にノミネートされた&lt;ref&gt;[http://singo.jiyu.co.jp/nominate/nominate2007.html2007ユーキャン新語・流行語大賞候補語]&lt;/ref&gt;が、同年[[12月3日]]に行われた本選ではベスト10入りを逃した。
富田薬品株式会社,癸乙夜（みずのといつや）が大学在籍中、静止画ムービーを見て独学で勉強を始めすっかり映像世界の魅に。その後、03年よりフリーランスの[[デモムービー]]作家として活動。のちの06年、映像制作ブランド「[[Mju:z]]」を[[RadiantImpressionPrelude神月社]]、パリオともに立ち上げ現在在籍中。
日本出版配給株式會社,日本出版配給が創立される以前、出版取次は四大[[雑誌]]取次（[[東京堂書店東京堂]]・[[東海堂]]・[[北隆館]]・[[大東館]]）の他、[[書籍]]取次や中小取次も合わせ全国に200社以上が存在していた。[[1940年]]（[[昭和]]15年）、日本政府は[[情報局]]指導の下、日本出版文化協会（文協）及び洋紙共販株式会社を創立して[[出版出版物]]の[[言論統制統制]]を行うようになった。次いで[[1941年]]（昭和16年）5月5日、全国の出版物取次業者240社あまりを強制的に統合した一元的配給会社として「'''日本出版配給株式会社'''」が設立された。[[資本金]]は1000万円。[[商工省]]及び情報局の指導監督、日本出版文化協会の配給指導の下、「日本文化の建設、国防国家の確立」を[[標語モットー]]に、出版社（文協会員）が発行する全書籍雑誌の一元的配給を担った&lt;ref&gt;「[http://www.lib.kobe-u.ac.jp/das/jsp/ja/ContentViewM.jsp?METAID10071695&amp;TYPEHTML_FILE&amp;POS1ヨイ本を安く早く:日本出版配給會社うぶ聲:全國の取次店は全部解消]」、[[大阪毎日新聞]]、1941年5月6日（[[神戸大学]]図書館[[デジタルアーカイブ]]）&lt;/ref&gt;。型式上は[[株式会社(日本)株式会社]]で、[[本社]]（本店）は[[東京市]][[神田区]][[神田淡路町淡路町]]&lt;ref&gt;[[1943年]]（昭和18年）7月1日の[[東京都制]]（昭和18年法律89号）[[施行]]に伴い、[[東京都]]神田区淡路町二丁目九番地へ変更。&lt;/ref&gt;の大東館に設置、支店は[[内地]]では大阪支店、名古屋支店、九州支店（福岡市）、[[外地]]では[[日本統治時代の朝鮮朝鮮]]支店（[[京城府]]）、[[日本統治時代の台湾台湾]]支店（[[台北市]]）が設置された。この他に[[九段]]、[[駿河台]]、[[神田錦町錦町]]等に営業所を設置した。[[取締役]][[社長]]には[[有斐閣]]店主・江草重忠が就任、[[役員(会社)役員]]も旧取次の店主等が横すべりで就任し、一見民営のように見えるが、役員の選任や重要事項の決定には監督官庁（商工省・情報局）の承認が必要とされるなど、実質的には政府の統制下に置かれていた。当時の出版物は、情報局による指導監督の下、日本出版文化協会（文協）が文協会員である出版社に対して出版指導を行っており、出版社の発行届及び企画届を基に発行承認・不承認を通知した。発行承認されないと出版社及び洋紙共販に対して用紙割当通知が届かず、出版社は洋紙共販傘下の各元受用紙店や各用紙店から印刷用紙が購入できなかった。また、情報局による[[検閲]]を受けた後（[[日本における検閲]]も参照）、[[奥付]]に配給元である日配と出版社の住所を明記しなければ日配は配本しないと定められ、日配は[[言論統制]]のための一翼を担った。[[1943年]]（昭和18年）6月4日、日本出版会（日本出版文化協会から改組）の配給部長だった[[石川武美]]（元[[主婦の友社主婦之友社]]取締役社長）が社長に就任、[[1944年]]（昭和19年）6月19日には[[農商務省(日本)#農商省農商大臣]]の[[内田信也]]から「統制会社ト為ルベシ」の命令が下り&lt;ref&gt;農商省指令19繊第3266号&lt;/ref&gt;、9月1日に[[統制会社令]]（昭和18年[[勅令]]第784号）第3條第2項の規定に基づき「'''日本出版配給統制株式会社'''」を設立、引き続き石川武美が社長に就任した。[[第二次世界大戦]]後の[[1946年]]（昭和21年）10月1日、[[商事会社]]に復帰して社名を日本出版配給株式会社に戻したが、[[連合国軍最高司令官総司令部GHQ]]が経済民主化を進める中、[[1949年]]（昭和24年）3月29日に[[閉鎖機関]]指定&lt;ref&gt;「日本出版配給株式会社を閉鎖機関に指定等」（昭和24年3月29日[[大蔵省]]・商工省[[告示]]第5号）、『[[官報]]』第6660号、1949年3月29日&lt;/ref&gt;を受けて活動を停止した。出版取次を一手に担ってきた日配の突然の活動停止は出版社を苦境に陥れ、この時多数が[[倒産]]している。この事態を受けて同年9月、10月に日配を母体とした取次会社が相次いで創業し、そのうちのいくつかは2015年（[[平成]]27年）現在も大手取次として存続している。
株式会社木村,世界でも珍しい、[[寄生虫]]を専門とした[[博物館]]であり、寄生虫に関する研究・展示・資料収集・鑑定・啓蒙活動等を行っている。博物館の建物は床面積があまり広くない6階建てのビルで、さらに展示スペースは1階と2階のみという小さな博物館である。上層階は研究室・収蔵庫・事務室等となっている。物珍しさと怖いもの見たさからデートスポットとして知られるほか、[[サブカルチャー]]の分野で取り上げられることも多いが、寄生虫形態学・分類学を中心とした地道な研究活動や、定期的な特別展示や講演会、外部での講演など教育活動も行う研究博物館である。
